team,url,name,detail,SKU,color,price
New England Patriots,http://shop.neweracap.com/style/NFL-Blurred-Trick-9FIFTY-Snapback-Cap/20865638,New England Patriots NFL Blurred Trick 9FIFTY Snapback Cap,"Made of 50% Cotton, Woven, 45% Polyester, Woven, 5% Spandex, Woven",20865638,Heather/Navy,$31.99
Miami Dolphins,http://shop.neweracap.com/style/NFL-Blurred-Trick-9FIFTY-Snapback-Cap/20865636,Miami Dolphins NFL Blurred Trick 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20865636,Black/Aqua,$31.99
Los Angeles Rams,http://shop.neweracap.com/style/NFL-Blurred-Trick-9FIFTY-Snapback-Cap/20865635,Los Angeles Rams NFL Blurred Trick 9FIFTY Snapback Cap,"Made of 50% Cotton, Woven, 45% Polyester, Woven, 5% Spandex, Woven",20865635,Heather/Navy,$31.99
Kansas City Chiefs,http://shop.neweracap.com/style/NFL-Blurred-Trick-9FIFTY-Snapback-Cap/20865634,Kansas City Chiefs NFL Blurred Trick 9FIFTY Snapback Cap,"Made of 50% Cotton, Woven, 45% Polyester, Woven, 5% Spandex, Woven",20865634,Heather/Red,$31.99
Jacksonville Jaguars,http://shop.neweracap.com/style/NFL-Blurred-Trick-9FIFTY-Snapback-Cap/20865633,Jacksonville Jaguars NFL Blurred Trick 9FIFTY Snapback Cap,"Made of 50% Cotton, Woven, 45% Polyester, Woven, 5% Spandex, Woven",20865633,Heather/Black,$31.99
Indianapolis Colts,http://shop.neweracap.com/style/NFL-Blurred-Trick-9FIFTY-Snapback-Cap/20865632,Indianapolis Colts NFL Blurred Trick 9FIFTY Snapback Cap,"Made of 50% Cotton, Woven, 45% Polyester, Woven, 5% Spandex, Woven",20865632,Heather/Blue,$31.99
Houston Texans,http://shop.neweracap.com/style/NFL-Blurred-Trick-9FIFTY-Snapback-Cap/20865631,Houston Texans NFL Blurred Trick 9FIFTY Snapback Cap,"Made of 50% Cotton, Woven, 45% Polyester, Woven, 5% Spandex, Woven",20865631,Heather/Navy,$31.99
Cleveland Browns,http://shop.neweracap.com/style/NFL-Blurred-Trick-9FIFTY-Snapback-Cap/20865627,Cleveland Browns NFL Blurred Trick 9FIFTY Snapback Cap,"Made of 50% Cotton, Woven, 45% Polyester, Woven, 5% Spandex, Woven",20865627,Heather/Brown,$31.99
Chicago Bears,http://shop.neweracap.com/style/NFL-Blurred-Trick-9FIFTY-Snapback-Cap/20865625,Chicago Bears NFL Blurred Trick 9FIFTY Snapback Cap,"Made of 50% Cotton, Woven, 45% Polyester, Woven, 5% Spandex, Woven",20865625,Heather/Navy,$31.99
Carolina Panthers,http://shop.neweracap.com/style/NFL-Blurred-Trick-9FIFTY-Snapback-Cap/20865624,Carolina Panthers NFL Blurred Trick 9FIFTY Snapback Cap,"Made of 50% Cotton, Woven, 45% Polyester, Woven, 5% Spandex, Woven",20865624,Heather/Blue,$31.99
Buffalo Bills,http://shop.neweracap.com/style/NFL-Blurred-Trick-9FIFTY-Snapback-Cap/20865623,Buffalo Bills NFL Blurred Trick 9FIFTY Snapback Cap,"Made of 50% Cotton, Woven, 45% Polyester, Woven, 5% Spandex, Woven",20865623,Heather/RoyalBlue,$31.99
Baltimore Ravens,http://shop.neweracap.com/style/NFL-Blurred-Trick-9FIFTY-Snapback-Cap/20865622,Baltimore Ravens NFL Blurred Trick 9FIFTY Snapback Cap,"Made of 50% Cotton, Woven, 45% Polyester, Woven, 5% Spandex, Woven",20865622,Heather/Black,$31.99
