team,url,name,SKU,price,color,detail
Los Angeles Rams,http://shop.neweracap.com/style/2016-NFL-Kids-Draft-59FIFTY-Cap/20826767,Los Angeles Rams 2016 NFL Kids Draft 59FIFTY Cap,20826767,$29.99,Navy/Heather Gray,"Made of 100% Polyester, Woven"
San Francisco 49ers,http://shop.neweracap.com/style/2016-NFL-Kids-Draft-59FIFTY-Cap/20826765,San Francisco 49ers 2016 NFL Kids Draft 59FIFTY Cap,20826765,$29.99,Red/Heather Gray,"Made of 100% Polyester, Woven"
San Diego Chargers,http://shop.neweracap.com/style/2016-NFL-Kids-Draft-59FIFTY-Cap/20826764,San Diego Chargers 2016 NFL Kids Draft 59FIFTY Cap,20826764,$29.99,Navy/Heather Gray,"Made of 96% Polyester, Woven, 4% Spandex, Woven"
Pittsburgh Steelers,http://shop.neweracap.com/style/2016-NFL-Kids-Draft-59FIFTY-Cap/20826763,Pittsburgh Steelers 2016 NFL Kids Draft 59FIFTY Cap,20826763,$29.99,Black/Heather Gray,"Made of 100% Polyester, Woven"
Philadelphia Eagles,http://shop.neweracap.com/style/2016-NFL-Kids-Draft-59FIFTY-Cap/20826762,Philadelphia Eagles 2016 NFL Kids Draft 59FIFTY Cap,20826762,$29.99,Green/Heather Gray,"Made of 98% Polyester, Woven, 2% Spandex, Woven"
New York Jets,http://shop.neweracap.com/style/2016-NFL-Kids-Draft-59FIFTY-Cap/20826760,New York Jets 2016 NFL Kids Draft 59FIFTY Cap,20826760,$29.99,Green/Heather Gray,"Made of 98% Polyester, Woven, 2% Spandex, Woven"
New Orleans Saints,http://shop.neweracap.com/style/2016-NFL-Kids-Draft-59FIFTY-Cap/20826758,New Orleans Saints 2016 NFL Kids Draft 59FIFTY Cap,20826758,$29.99,Black/Heather Gray,"Made of 98% Polyester, Woven, 2% Spandex, Woven"
New England Patriots,http://shop.neweracap.com/style/2016-NFL-Kids-Draft-59FIFTY-Cap/20826757,New England Patriots 2016 NFL Kids Draft 59FIFTY Cap,20826757,$29.99,Navy/Heather Gray,"Made of 98% Polyester, Woven, 2% Spandex, Woven"
Minnesota Vikings,http://shop.neweracap.com/style/2016-NFL-Kids-Draft-59FIFTY-Cap/20826756,Minnesota Vikings 2016 NFL Kids Draft 59FIFTY Cap,20826756,$29.99,Purple/Heather Gray,"Made of 98% Polyester, Woven, 2% Spandex, Woven"
Kansas City Chiefs,http://shop.neweracap.com/style/2016-NFL-Kids-Draft-59FIFTY-Cap/20826754,Kansas City Chiefs 2016 NFL Kids Draft 59FIFTY Cap,20826754,$29.99,Red/Heather Gray,"Made of 100% Polyester, Woven"
Jacksonville Jaguars,http://shop.neweracap.com/style/2016-NFL-Kids-Draft-59FIFTY-Cap/20826753,Jacksonville Jaguars 2016 NFL Kids Draft 59FIFTY Cap,20826753,$29.99,Black/Heather Gray,"Made of 100% Polyester, Woven"
Indianapolis Colts,http://shop.neweracap.com/style/2016-NFL-Kids-Draft-59FIFTY-Cap/20826752,Indianapolis Colts 2016 NFL Kids Draft 59FIFTY Cap,20826752,$29.99,RoyalBlue/Heather Gray,"Made of 98% Polyester, Woven, 2% Spandex, Woven"
Houston Texans,http://shop.neweracap.com/style/2016-NFL-Kids-Draft-59FIFTY-Cap/20826751,Houston Texans 2016 NFL Kids Draft 59FIFTY Cap,20826751,$29.99,Navy/Heather Gray,"Made of 98% Polyester, Woven, 2% Spandex, Woven"
